disease,symptom,description,weight,precautions
dimorphic hemmorhoids(piles),constipation,No Description Available,4,"['avoid fatty spicy food', 'consume witch hazel', 'warm bath with epsom salt', 'consume alovera juice']"
dimorphic hemmorhoids(piles),pain_during_bowel_movements,No Description Available,5,"['avoid fatty spicy food', 'consume witch hazel', 'warm bath with epsom salt', 'consume alovera juice']"
dimorphic hemmorhoids(piles),pain_in_anal_region,No Description Available,6,"['avoid fatty spicy food', 'consume witch hazel', 'warm bath with epsom salt', 'consume alovera juice']"
dimorphic hemmorhoids(piles),bloody_stool,No Description Available,5,"['avoid fatty spicy food', 'consume witch hazel', 'warm bath with epsom salt', 'consume alovera juice']"
dimorphic hemmorhoids(piles),irritation_in_anus,No Description Available,6,"['avoid fatty spicy food', 'consume witch hazel', 'warm bath with epsom salt', 'consume alovera juice']"
drug reaction,itching,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,1,"['stop irritation', 'consult nearest hospital', 'stop taking drug', 'follow up']"
drug reaction,skin_rash,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,3,"['stop irritation', 'consult nearest hospital', 'stop taking drug', 'follow up']"
drug reaction,stomach_pain,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,5,"['stop irritation', 'consult nearest hospital', 'stop taking drug', 'follow up']"
drug reaction,burning_micturition,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,6,"['stop irritation', 'consult nearest hospital', 'stop taking drug', 'follow up']"
drug reaction,spotting_ urination,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,4.23,"['stop irritation', 'consult nearest hospital', 'stop taking drug', 'follow up']"
fungal infection,itching,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",1,"['bath twice', 'use detol or neem in bathing water', 'keep infected area dry', 'use clean cloths']"
fungal infection,skin_rash,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",3,"['bath twice', 'use detol or neem in bathing water', 'keep infected area dry', 'use clean cloths']"
fungal infection,nodal_skin_eruptions,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",4,"['bath twice', 'use detol or neem in bathing water', 'keep infected area dry', 'use clean cloths']"
fungal infection,dischromic _patches,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",4.23,"['bath twice', 'use detol or neem in bathing water', 'keep infected area dry', 'use clean cloths']"
gastroenteritis,vomiting,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",5,"['stop eating solid food for while', 'try taking small sips of water', 'rest', 'ease back into eating']"
gastroenteritis,sunken_eyes,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",3,"['stop eating solid food for while', 'try taking small sips of water', 'rest', 'ease back into eating']"
gastroenteritis,dehydration,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",4,"['stop eating solid food for while', 'try taking small sips of water', 'rest', 'ease back into eating']"
gastroenteritis,diarrhoea,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",6,"['stop eating solid food for while', 'try taking small sips of water', 'rest', 'ease back into eating']"
gerd,stomach_pain,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",5,"['avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight', 'exercise']"
gerd,acidity,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",3,"['avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight', 'exercise']"
gerd,ulcers_on_tongue,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",4,"['avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight', 'exercise']"
gerd,vomiting,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",5,"['avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight', 'exercise']"
gerd,cough,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",4,"['avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight', 'exercise']"
gerd,chest_pain,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",7,"['avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight', 'exercise']"
heart attack,vomiting,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle.",5,"['call ambulance', 'chew or swallow asprin', 'keep calm']"
heart attack,breathlessness,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle.",4,"['call ambulance', 'chew or swallow asprin', 'keep calm']"
heart attack,sweating,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle.",3,"['call ambulance', 'chew or swallow asprin', 'keep calm']"
heart attack,chest_pain,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle.",7,"['call ambulance', 'chew or swallow asprin', 'keep calm']"
hepatitis a,joint_pain,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,3,"['consult nearest hospital', 'wash hands through', 'avoid fatty spicy food', 'medication']"
hepatitis a,vomiting,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,5,"['consult nearest hospital', 'wash hands through', 'avoid fatty spicy food', 'medication']"
hepatitis a,yellowish_skin,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,3,"['consult nearest hospital', 'wash hands through', 'avoid fatty spicy food', 'medication']"
hepatitis a,dark_urine,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,4,"['consult nearest hospital', 'wash hands through', 'avoid fatty spicy food', 'medication']"
hepatitis a,nausea,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,5,"['consult nearest hospital', 'wash hands through', 'avoid fatty spicy food', 'medication']"
hepatitis a,loss_of_appetite,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,4,"['consult nearest hospital', 'wash hands through', 'avoid fatty spicy food', 'medication']"
hepatitis a,abdominal_pain,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,4,"['consult nearest hospital', 'wash hands through', 'avoid fatty spicy food', 'medication']"
hepatitis a,diarrhoea,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,6,"['consult nearest hospital', 'wash hands through', 'avoid fatty spicy food', 'medication']"
hepatitis a,mild_fever,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,5,"['consult nearest hospital', 'wash hands through', 'avoid fatty spicy food', 'medication']"
hepatitis a,yellowing_of_eyes,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,4,"['consult nearest hospital', 'wash hands through', 'avoid fatty spicy food', 'medication']"
hepatitis a,muscle_pain,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,2,"['consult nearest hospital', 'wash hands through', 'avoid fatty spicy food', 'medication']"
hepatitis b,itching,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",1,"['consult nearest hospital', 'vaccination', 'eat healthy', 'medication']"
hepatitis b,fatigue,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",4,"['consult nearest hospital', 'vaccination', 'eat healthy', 'medication']"
hepatitis b,lethargy,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",2,"['consult nearest hospital', 'vaccination', 'eat healthy', 'medication']"
hepatitis b,yellowish_skin,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",3,"['consult nearest hospital', 'vaccination', 'eat healthy', 'medication']"
hepatitis b,dark_urine,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",4,"['consult nearest hospital', 'vaccination', 'eat healthy', 'medication']"
hepatitis b,loss_of_appetite,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",4,"['consult nearest hospital', 'vaccination', 'eat healthy', 'medication']"
hepatitis b,abdominal_pain,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",4,"['consult nearest hospital', 'vaccination', 'eat healthy', 'medication']"
hepatitis b,yellow_urine,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",4,"['consult nearest hospital', 'vaccination', 'eat healthy', 'medication']"
hepatitis b,yellowing_of_eyes,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",4,"['consult nearest hospital', 'vaccination', 'eat healthy', 'medication']"
hepatitis b,malaise,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",6,"['consult nearest hospital', 'vaccination', 'eat healthy', 'medication']"
hepatitis b,receiving_blood_transfusion,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",5,"['consult nearest hospital', 'vaccination', 'eat healthy', 'medication']"
hepatitis b,receiving_unsterile_injections,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",2,"['consult nearest hospital', 'vaccination', 'eat healthy', 'medication']"
hepatitis c,fatigue,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.",4,"['consult nearest hospital', 'vaccination', 'eat healthy', 'medication']"
hepatitis c,yellowish_skin,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.",3,"['consult nearest hospital', 'vaccination', 'eat healthy', 'medication']"
hepatitis c,nausea,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.",5,"['consult nearest hospital', 'vaccination', 'eat healthy', 'medication']"
hepatitis c,loss_of_appetite,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.",4,"['consult nearest hospital', 'vaccination', 'eat healthy', 'medication']"
hepatitis c,yellowing_of_eyes,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.",4,"['consult nearest hospital', 'vaccination', 'eat healthy', 'medication']"
hepatitis c,family_history,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.",5,"['consult nearest hospital', 'vaccination', 'eat healthy', 'medication']"
hepatitis d,joint_pain,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).",3,"['consult doctor', 'medication', 'eat healthy', 'follow up']"
hepatitis d,vomiting,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).",5,"['consult doctor', 'medication', 'eat healthy', 'follow up']"
hepatitis d,fatigue,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).",4,"['consult doctor', 'medication', 'eat healthy', 'follow up']"
hepatitis d,yellowish_skin,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).",3,"['consult doctor', 'medication', 'eat healthy', 'follow up']"
hepatitis d,dark_urine,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).",4,"['consult doctor', 'medication', 'eat healthy', 'follow up']"
hepatitis d,nausea,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).",5,"['consult doctor', 'medication', 'eat healthy', 'follow up']"
hepatitis d,loss_of_appetite,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).",4,"['consult doctor', 'medication', 'eat healthy', 'follow up']"
hepatitis d,abdominal_pain,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).",4,"['consult doctor', 'medication', 'eat healthy', 'follow up']"
hepatitis d,yellowing_of_eyes,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).",4,"['consult doctor', 'medication', 'eat healthy', 'follow up']"
hepatitis e,joint_pain,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.,3,"['stop alcohol consumption', 'rest', 'consult doctor', 'medication']"
hepatitis e,vomiting,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.,5,"['stop alcohol consumption', 'rest', 'consult doctor', 'medication']"
hepatitis e,fatigue,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.,4,"['stop alcohol consumption', 'rest', 'consult doctor', 'medication']"
hepatitis e,high_fever,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.,7,"['stop alcohol consumption', 'rest', 'consult doctor', 'medication']"
hepatitis e,yellowish_skin,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.,3,"['stop alcohol consumption', 'rest', 'consult doctor', 'medication']"
hepatitis e,dark_urine,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.,4,"['stop alcohol consumption', 'rest', 'consult doctor', 'medication']"
hepatitis e,nausea,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.,5,"['stop alcohol consumption', 'rest', 'consult doctor', 'medication']"
hepatitis e,loss_of_appetite,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.,4,"['stop alcohol consumption', 'rest', 'consult doctor', 'medication']"
hepatitis e,abdominal_pain,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.,4,"['stop alcohol consumption', 'rest', 'consult doctor', 'medication']"
hepatitis e,yellowing_of_eyes,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.,4,"['stop alcohol consumption', 'rest', 'consult doctor', 'medication']"
hepatitis e,acute_liver_failure,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.,6,"['stop alcohol consumption', 'rest', 'consult doctor', 'medication']"
hepatitis e,coma,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.,7,"['stop alcohol consumption', 'rest', 'consult doctor', 'medication']"
hepatitis e,stomach_bleeding,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.,6,"['stop alcohol consumption', 'rest', 'consult doctor', 'medication']"
hypertension,headache,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.",3,"['meditation', 'salt baths', 'reduce stress', 'get proper sleep']"
hypertension,chest_pain,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.",7,"['meditation', 'salt baths', 'reduce stress', 'get proper sleep']"
hypertension,dizziness,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.",4,"['meditation', 'salt baths', 'reduce stress', 'get proper sleep']"
hypertension,loss_of_balance,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.",4,"['meditation', 'salt baths', 'reduce stress', 'get proper sleep']"
hypertension,lack_of_concentration,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.",3,"['meditation', 'salt baths', 'reduce stress', 'get proper sleep']"
hyperthyroidism,fatigue,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.",4,"['eat healthy', 'massage', 'use lemon balm', 'take radioactive iodine treatment']"
hyperthyroidism,mood_swings,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.",3,"['eat healthy', 'massage', 'use lemon balm', 'take radioactive iodine treatment']"
hyperthyroidism,weight_loss,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.",3,"['eat healthy', 'massage', 'use lemon balm', 'take radioactive iodine treatment']"
hyperthyroidism,restlessness,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.",5,"['eat healthy', 'massage', 'use lemon balm', 'take radioactive iodine treatment']"
hyperthyroidism,sweating,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.",3,"['eat healthy', 'massage', 'use lemon balm', 'take radioactive iodine treatment']"
hyperthyroidism,diarrhoea,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.",6,"['eat healthy', 'massage', 'use lemon balm', 'take radioactive iodine treatment']"
hyperthyroidism,fast_heart_rate,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.",5,"['eat healthy', 'massage', 'use lemon balm', 'take radioactive iodine treatment']"
hyperthyroidism,excessive_hunger,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.",4,"['eat healthy', 'massage', 'use lemon balm', 'take radioactive iodine treatment']"
hyperthyroidism,muscle_weakness,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.",2,"['eat healthy', 'massage', 'use lemon balm', 'take radioactive iodine treatment']"
hyperthyroidism,irritability,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.",2,"['eat healthy', 'massage', 'use lemon balm', 'take radioactive iodine treatment']"
hyperthyroidism,abnormal_menstruation,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.",6,"['eat healthy', 'massage', 'use lemon balm', 'take radioactive iodine treatment']"
hypoglycemia,vomiting, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.,5,"['lie down on side', 'check in pulse', 'drink sugary drinks', 'consult doctor']"
hypoglycemia,fatigue, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.,4,"['lie down on side', 'check in pulse', 'drink sugary drinks', 'consult doctor']"
hypoglycemia,anxiety, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.,4,"['lie down on side', 'check in pulse', 'drink sugary drinks', 'consult doctor']"
hypoglycemia,sweating, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.,3,"['lie down on side', 'check in pulse', 'drink sugary drinks', 'consult doctor']"
hypoglycemia,headache, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.,3,"['lie down on side', 'check in pulse', 'drink sugary drinks', 'consult doctor']"
hypoglycemia,nausea, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.,5,"['lie down on side', 'check in pulse', 'drink sugary drinks', 'consult doctor']"
hypoglycemia,blurred_and_distorted_vision, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.,5,"['lie down on side', 'check in pulse', 'drink sugary drinks', 'consult doctor']"
